,agabgut1,agapfusc,agapochr,agapsp.,amelinop,amphinsp,anomchau,apatsp.,argyaqua,arthcong,aselaqua,athibisp,atheibis,athrsp.,baetgen.,baetalpi,baetmuti,baetnige,baetrhod,baetissp,baetsuba,baetvern,bathcont,bracrisi,bracseti,brterasp,caenluct,calovirg,capnschi,cerasp.,cerpalge,chaegen.,cheryxsp,chaevill,chelifsp,chidaege,chinaege,chlorosp,chlopege,chrssp.,clingesp,collgen.,cordaege,crunirro,culigen.,deropla1,dicransp,diptgen.,diurbica,diurnans,dixasp.,dixesp.,doldaege,drusanbi,druschry,drusdisc,dytigen1,eccldale,ecclgutt,ecclmadi,ecdyhegr,ecdyonsp,ecdyvegr,eisetetr,elmamrr1,elmilat1,elmisp.1,elodmar1,elodsp.1,eleosp.,empidige,enchygen,epeoassi,ephedani,ephearon,ephemucr,ephygen.,esolang1,esolsp.1,gammgen.,gammfoss,gammlacu,gammsp.,glosinte,glossosp,goergen.,gyrasp.,habrconf,habrlaut,halesp.,haligen1,haplgord,helostag,hemesp.,heptdale,heptsulp,heptgen.,hydainfu,hydrgesp,hydrden1,hydrgra1,hydrsp.1,hydrangu,hydrfulv,hydrinst,hydrpegr,hydrsaxo,hydrsilt,hyychesp,hydrtenu,ibismarg,isopsp.,ithylame,lepigesp,lasibasa,lepihirt,leptmarg,leptopsp,leptvesp,lephlege,leucbrau,lefudihi,leucfusc,leuchipp,leucnigr,leuctrsp,liphidge,limigesp,limperr1,limnisp1,limnvol1,lmphsp.,limdaege,lipocici,liposp.,lithnige,lumculge,lymnsp.,micrgeli,micrlong,micrmini,molatinc,naitubge,nematoge,nemoursp,nemogen.,nemupict,neurbima,odonalbi,olichgen,oreosan1,ostrgen.,oulitub1,oxyesp.,paralesp,pedisp.,perlodsp,philludi,philmont,philsp.,philvari,casesp.,plrbissp,platmac1,plecsp.,polyfeli,polynite,polycege,polyflav,pocilalu,potarotu,poylaxsp,prodoliv,prosrufi,prosimsp,protonsp,psydidge,psymyige,ptilgran,rhithygr,rhitsegr,rhithrsp,rhyahosp,rhyarysp,rhyaevol,rhyafasc,rhyaglar,rhyanubi,rhyaprae,rhyilasp,rhyatris,sciogen.,sembatra,serisp.,serigen.,epheigni,sialfuli,sialluta,sialsp.,silopall,simugen.,simucryo,simumont,simulisp,simuurba,siphonsp,sphagen.,sphiumsp,stenperm,stylheri,tabagen.,taennebu,taensp.,tannaege,taninige,tinosp.,tipusp.,triasp.,trichoge,valvsp.,veligen.
1,0,0,0,0,6,500,0,14,0,0,0,0,0,0,5,26,19,0,28,19,0,0,0,0,0,5,0,0,0,0,0,238,0,0,0,278,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,226,0,1,0,0,0,302,5,295,0,5,14,0,5,1,0,0,71,0,149,78,0,713,0,1117,0,34,0,0,0,0,0,0,0,0,0,0,0,24,0,0,5,72,82,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,736,1428,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,1,34,318,0,0,0,0,119,58,0,0,0,0,0,0,7,5,19,0,0,5,0,0,0,0,0,10,0,0,0,202,0,62,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0
2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,16,0,0,1,22,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,95,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,93,0,0,2,2,0,2,0,0,0,0,7,2,4,4,4,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,0,6,146,0,0,0,0,0,0,0,0,0,22,0,0,7,0,0,0,0,0,60,9,0,0,0,0,0,21,0,0,0,3,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,4,0,37,0,70,0,0,0,0,0,0,0,0,0,0,6,24,0,2,0,8,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,68,395,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,6,0,43,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,20,218,0,0,0,0,49,21,3,0,0,0,0,8,6,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,156,0,0,0,61,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,0,39,0,24,0,3,0,6,0,0,0,0,0,299,88,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,277,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,16,375,0,0,0,33,0,35,18,23,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
5,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,76,0,0,0,22,0,0,0,0,40,2,0,0,0,0,0,5,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,2,0,4,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,25,0,0,0,0,85,12,0,2,0,0,4,6,0,0,0,6,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,152,125,4,0,0,0,0,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
6,0,0,0,0,20,55,1,0,0,0,0,0,0,0,0,67,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,29,0,0,0,25,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,10,0,0,0,1,3,0,1,2,0,2,54,0,0,0,0,0,0,0,0,0,0,7,26,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,8,0,2,0,0,4,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,20,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,7,159,0,0,0,43,0,0,0,0,3,0,0,0,20,0,26,0,0,2,13,0,0,0,0,2,0,0,0,4,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7,0,2,0,1,0,12,0,2,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,20,0,0,0,18,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,3,0,0,0,0,2,5,0,7,0,14,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,5,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,32,1,0,43,46,0,0,0,7,3,2,0,0,0,2,0,0,0,0,22,4,0,0,4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,176,2,0,3,0,16,0,0,4,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0
8,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,8,0,0,18,0,0,0,0,0,33,0,0,0,0,0,0,26,0,0,0,17,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,1,0,31,1,0,8,8,14,0,1,0,0,0,0,0,0,0,0,0,24,0,127,0,250,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,3,0,0,0,0,0,0,0,3,1,30,30,0,0,0,0,0,0,0,0,21,0,0,0,0,27,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,18,215,3,0,0,0,0,82,0,1,0,0,0,0,2,3,14,0,0,8,0,0,2,0,1,0,0,0,0,17,0,7,0,0,0,0,0,0,0,10,7,26,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,34,7,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,58,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,5,0,0,0,0,0,0,0,0,66,0,1,43,10,245,1,0,19,0,0,0,0,0,0,0,0,1,5,904,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,110,0,0,0,0,0,0,0,0,5,0,0,0,0,82,0,0,898,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,25,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,5,0,0,0,29,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,62,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,14,0,0,0,0,0,0,0,38,0,0,14,0,1,0,0,0,0,0,5,19,0,0,0,0,0,10,0,43,0,0,43,0,5,5,0,0,0,0,0,0,0,0,0,0,358,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,1,0,0,0,0,0,77,0,0,0,182,303,0,0,6,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,14,0,0,0,0,24,0,0,0,5,0,0,77,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,0,0,0,0,58,5,0,1,0,0,0,1
