,agapsp.,amelinop,amphinsp,apatsp.,aselaqua,athrsp.,baetissp,bathcont,brterasp,calosp.,cerasp.,cerpalge,chelifsp,clingesp,crunsp.,cunagen.,derosp.1,diurbica,dixasp.,drussp.,ecclsp.,ecdyonsp,eisetetr,elmisp.1,elodsp.1,epeosp.,epmerasp,epellasp,ephygen.,esolsp.1,gammsp.,glossosp,gyrasp.,habrolsp,habropsp,halesp.,helostag,hemegen.,heptsp.,hexagen.,hydrsp.1,hyychesp,isopsp.,ithysp.,lepihirt,leptopsp,leuctrsp,limnisp1,liposp.,lithaxsp,mermgen.,micrassp,muscgen.,nemoursp,nemupict,odonalbi,oreosp.1,ortdiaproge,othlimnge,othlumbge,othstechage,oulisp.1,oxyesp.,paralesp,pedigen.,perlodsp,philsp.,casesp.,plrbissp,plecsp.,poopussp,prosgen.,protonsp,psydidge,ptilgran,radisp.,rhithrsp,rhyahosp,rhyilasp,serisp.,serrasp.,sialsp.,silosp.,simulgen,siphonsp,sphiumsp,stylheri,taensp.,tannaege,taninige,tinosp.,tipdaege,triasp.,valvsp.
1,0,6,500,14,0,0,92,0,5,0,0,0,0,0,0,0,0,0,5,0,226,1,0,602,5,1,0,71,0,227,1830,34,0,0,0,0,0,0,0,14,159,5,7,0,0,0,649,2164,0,5,0,0,0,0,0,1,0,0,0,0,248,0,0,0,19,2,1,0,0,0,0,35,318,0,0,0,177,0,31,5,0,0,10,202,62,0,0,0,5,0,0,10,0,0
2,0,23,0,0,0,0,11,0,6,0,0,0,1,0,1,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,101,2,0,0,0,0,0,6,0,0,0,0,0,0,16,0,0,0,2,0,1,0,0,0,0,54,93,0,2,0,4,0,21,10,0,0,0,7,0,0,0,0,1,0,0,0,0,0
3,0,6,146,0,0,0,29,0,69,0,0,0,0,0,0,0,0,0,0,0,6,17,0,107,0,0,0,0,0,30,10,3,0,0,0,0,0,0,0,0,0,11,2,0,0,0,187,463,0,0,0,3,0,3,6,43,0,0,0,0,24,0,0,0,13,2,1,0,0,0,0,20,218,0,0,0,70,3,17,3,0,0,0,3,26,0,0,0,0,0,0,0,0,0
4,0,202,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,63,9,0,0,387,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,18,0,0,0,279,3,0,3,0,0,0,8,0,0,0,0,0,3,159,0,0,0,29,0,0,0,0,1,0,18,375,0,0,0,68,18,46,0,0,0,0,32,0,0,0,0,6,0,0,0,0,0
5,0,0,54,0,0,0,98,0,42,0,0,0,0,0,0,0,0,0,0,15,0,1,2,13,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,1,0,0,0,51,25,97,0,0,4,0,6,0,2,3,0,0,2,5,0,0,0,0,0,2,0,0,0,0,176,125,4,0,0,3,0,10,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0
6,0,20,55,0,0,0,69,0,11,0,0,0,0,0,0,0,2,0,0,10,1,4,2,56,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,2,6,29,0,0,0,236,42,0,4,0,0,0,7,0,0,2,0,0,0,31,0,0,0,7,1,1,0,0,2,0,7,159,0,0,0,43,0,49,2,0,0,2,4,7,0,0,0,2,0,0,0,0,0
7,0,0,12,2,0,0,8,0,24,0,0,0,0,0,1,0,0,0,0,1,0,6,0,2,2,3,0,0,0,7,21,11,0,1,0,0,0,0,0,0,1,11,6,0,0,0,34,89,10,2,0,2,0,22,0,4,0,0,0,0,20,0,0,0,3,0,2,0,0,0,0,42,176,2,3,0,16,0,7,2,0,0,0,6,2,0,2,0,1,0,1,0,0,0
8,0,3,60,0,0,0,26,0,33,0,0,0,0,0,0,0,0,0,0,0,4,32,0,30,1,0,0,0,0,24,377,16,0,0,0,0,0,0,0,0,4,4,30,0,0,0,48,487,0,0,0,0,0,8,0,5,0,3,0,0,28,0,0,0,8,0,1,0,0,0,0,18,215,3,0,0,82,0,20,8,0,3,0,17,7,0,0,0,10,7,26,0,0,0
9,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,298,1,0,0,0,0,1,947,0,0,0,0,0,0,0,0,19,0,25,110,0,0,0,87,898,0,14,0,0,0,0,0,14,1,0,0,0,29,0,0,0,40,3,0,0,0,0,0,0,58,0,0,0,0,0,31,5,0,0,5,29,0,0,0,0,5,0,0,0,0,0
10,0,0,0,0,0,0,68,0,0,0,0,0,0,0,38,0,0,1,0,24,0,10,43,43,5,0,0,0,0,0,663,0,0,0,0,0,0,0,0,5,0,0,106,0,0,0,562,6,0,14,0,0,0,38,0,0,0,0,0,8,29,0,0,0,14,0,11,0,0,25,0,0,24,0,0,0,14,0,29,77,0,0,0,19,5,0,0,0,58,5,0,1,0,0
