Code,Altitude,pH,EC,Water_depth,Water_temp,Air_temp,DIC,CO2.C,DOC,TOC,Colour,X420nm_unfiltered,X420nm_filtered,Al,Ca,Fe,K,Mg,Mn,Na,S,Si,SiO2,Cl,SO4,NH4.N,NO3,NO2.NO3_N,Tot.N,Tot.P,LU.Forest.,LU.Deciduous_forest.,LU.Coniferous_forest.,LU.Mixed_forest.,LU.Transitional.,LU.Urban.,LU.Marsh.,LU.Agriculture.,LU.Water.,LU.Cutting_area.,Shading,sub..0.5S.,sub..0.5H.,sub.Sand.,sub.Fine_gravel.,sub.Coarse_gravel.,sub.Cobbles.,sub.Boulders.,sub.Bedrock.,Moss,Deadwood,CPOM
1,790,7.19,36.4,,,11.79,,,4.6,,,,,0.08,3.38,0.04,0.6,0.7,0,2.93,,,13.4,0.66,3.23,0.01,2.09,,,,,,,,,,,,,,-5.984979341,,,,,-11.51291546,-5.108322485,-11.51291546,,-5.514966007,-11.51291546,-11.51291546
2,982,6.5,16,,,3.08,,,2.280118872,,,,,0.12,1.24,0,0.32,0.28,0,1.06,,,6.9,0.4,3.6,0.08,1.2,,,,,,,,,,,,,,-5.984979341,,,,,-6.89681426,-5.291316833,-11.51291546,,-6.494154385,-6.89681426,-6.494154385
3,778,6.7,20,,,4.53,,,4.7,,,,,0.15,1.73,0.09,0.39,0.59,0,1.51,,,8.6,0.5,2.4,0.02,1.99,,,,,,,,,,,,,,-4.884001596,,,,,-11.51291546,-4.757987068,-11.51291546,,-6.89681426,-7.58060932,-11.51291546
4,1105,5.3,14,,,12.4,,,3.2,,,,,0.2,0.68,0.06,0.29,0.42,0.01,0.77,,,4.8,0.3,2,0.02,2.74,,,,,,,,,,,,,,-5.291316833,,,,,-6.207628475,-5.027904641,-11.51291546,,-6.494154385,-11.51291546,-11.51291546
5,791,6.6,17,,,14.54,,,5.4,,,,,0.15,1.29,0.1,0.38,0.6,0,1.21,,,6.6,0.5,1.8,0.02,2.48,,,,,,,,,,,,,,-4.594130431,,,,,-11.51291546,-11.51291546,-4.700389531,,-6.89681426,-11.51291546,-11.51291546
6,1098,6.65,30.8,,,10.91,,,2.12,,,,,0.06,2.45,0.04,0.72,0.69,0,1.48,,,6.75,0.51,1.75,0.01,11.6,,,,,,,,,,,,,,-11.51291546,,,,,-11.51291546,-4.884001596,-6.494154385,,-6.89681426,-11.51291546,-11.51291546
7,786,6.28,21.6,,,8.49,,,3.2,,,,,0.11,1.42,0.04,0.51,0.45,0,1.72,,,7.37,0.66,3.39,0.01,2.66,,,,,,,,,,,,,,-4.594130431,,,,,-11.51291546,-5.514966007,-6.494154385,,-5.396957971,-11.51291546,-11.51291546
8,799,6.7,18,,,9.55,,,3.1,,,,,0.12,1.37,0.04,0.36,0.39,0,1.66,,,8.8,0.6,2.2,0.02,1.81,,,,,,,,,,,,,,-5.291316833,,,,,-11.51291546,-4.884001596,-11.51291546,,-6.89681426,-7.58060932,-6.494154385
9,790,7.16,42.6,,,15.65,,,2.46,,,,,0.02,3.56,0.04,0.43,0.76,0,3.51,,,15.59,0.88,3.31,0.01,2.56,,,,,,,,,,,,,,-5.984979341,,,,,-11.51291546,-5.108322485,-11.51291546,,-5.514966007,-11.51291546,-11.51291546
10,982,6.7,17,,,15.9,,,2.837684716,,,,,0.11,1.36,0,0.22,0.32,0,1.68,,,9,0.6,3.4,0.04,0.7,,,,,,,,,,,,,,-5.984979341,,,,,-6.89681426,-5.291316833,-11.51291546,,-6.494154385,-6.89681426,-6.494154385
11,778,6.9,22,,,14.1,,,4,,,,,0.11,1.92,0.1,0.44,0.64,0,1.86,,,10,0.5,2,0.02,2.39,,,,,,,,,,,,,,-4.884001596,,,,,-11.51291546,-4.757987068,-11.51291546,,-6.89681426,-7.58060932,-11.51291546
12,1105,5,13,,,15.3,,,9.5,,,,,0.43,0.69,0.19,0.22,0.36,0.01,0.62,,,3.6,0.3,1.7,0.02,0.75,,,,,,,,,,,,,,-5.291316833,,,,,-6.207628475,-5.027904641,-11.51291546,,-6.494154385,-11.51291546,-11.51291546
13,791,6,15,,,17.33,,,14,,,,,0.37,1.43,0.32,0.4,0.61,0.01,1.02,,,5.4,0.4,1.3,0.02,1.24,,,,,,,,,,,,,,-4.594130431,,,,,-11.51291546,-11.51291546,-4.700389531,,-6.89681426,-11.51291546,-11.51291546
14,1098,6.53,30,,,10.73,,,5.29,,,,,0.13,2.29,0.07,0.2,0.64,0.01,2.19,,,6.89,0.9,1.54,0.01,7.67,,,,,,,,,,,,,,-11.51291546,,,,,-11.51291546,-4.884001596,-6.494154385,,-6.89681426,-11.51291546,-11.51291546
15,786,6.45,22.8,,,16.93,,,4.46,,,,,0.12,1.45,0.04,0.19,0.47,0,2.16,,,8.01,0.81,3.14,0.01,1.89,,,,,,,,,,,,,,-4.594130431,,,,,-11.51291546,-5.514966007,-6.494154385,,-5.396957971,-11.51291546,-11.51291546
16,799,6.7,19,,,15.67,,,5.1,,,,,0.15,1.48,0.09,0.44,0.43,0,1.91,,,9.7,0.6,1.9,0.02,2.08,,,,,,,,,,,,,,-5.291316833,,,,,-11.51291546,-4.884001596,-11.51291546,,-6.89681426,-7.58060932,-6.494154385
17,296,5.25,,,,,1.62,1.54,,10.86,,0.04,0.04,0.22,1.3,0.29,0.42,0.47,0,1.49,1.57,5.22,,0.02,0.08,,,0,0.26,0.02,-4.635314755,,,,,,-7.798962835,-11.51291546,-11.51291546,-11.51291546,-4.939137754,-11.51291546,-7.58060932,-6.802304489,-5.291316833,-6.562774466,-6.636437157,-7.401461099,-9.11493837,-7.401461099,-6.562774466,
18,306,4.3,,,,,2.42,2.41,,21.95,,0.08,0.08,0.34,1.64,0.68,0.48,0.58,0.01,1.47,2.36,5.58,,0.01,0.12,,,0,0.36,0.01,-4.87067313,,,,,,-6.636437157,-11.51291546,-11.51291546,-6.802304489,-4.897507372,-11.51291546,-9.11493837,-6.636437157,-5.620450992,-5.67764717,-6.494154385,-9.11493837,-11.51291546,-6.89681426,-7.117685751,
19,301,4.48,,,,,3.53,3.5,,25.26,,0.11,0.11,0.29,1.38,1.24,0.32,0.44,0.01,1.3,1.18,4.7,,0.01,0.05,,,0,0.42,0.01,-5.091719854,,,,,,-6.207628475,-11.51291546,-11.51291546,-6.312636719,-4.884001596,-11.51291546,-11.51291546,-7.58060932,-6.802304489,-5.64864308,-5.311579301,-11.51291546,-11.51291546,-6.636437157,-11.51291546,
20,292,4.99,,,,,2.72,2.63,,22.91,,0.14,0.13,0.14,1.24,2.04,0.29,0.36,0.01,0.78,0.49,2.94,,0.01,0.02,,,0,0.45,0.01,-5.311579301,,,,,,-5.41948088,-11.51291546,-7.58060932,-8.468212057,-5.159829971,-11.51291546,-11.51291546,-11.51291546,-11.51291546,-6.15897505,-4.911195276,-7.401461099,-11.51291546,-5.4425181,-8.078647573,
21,278,4.63,,,,,1.58,1.57,,11.31,,0.03,0.02,0.31,0.98,0.18,0.12,0.4,0,1.36,1.7,4.38,,0.02,0.1,,,0,0.22,0.01,-4.594130431,,,,,,-11.51291546,-11.51291546,-11.51291546,-11.51291546,-4.967871767,-11.51291546,-11.51291546,-7.58060932,-5.353366296,-5.566328837,-6.89681426,-11.51291546,-11.51291546,-6.802304489,-11.51291546,
22,270,4.42,,,,,2.88,2.86,,23.92,,0.11,0.1,0.12,0.8,0.96,0.25,0.32,0,0.98,0.8,3.31,,0.01,0.04,,,0.02,0.43,0.01,-5.012559785,,,,,,-5.67764717,-11.51291546,-11.51291546,-11.51291546,-4.925070328,-11.51291546,-11.51291546,-9.11493837,-5.738289181,-5.4425181,-6.025735588,-11.51291546,-11.51291546,-6.068215042,-11.51291546,
23,245,5.6,,,,,2.13,1.92,,12.44,,0.02,0.02,0.43,2.29,0.25,0.21,0.65,0.01,1.76,2.31,6.67,,0.01,0.13,,,0.01,0.25,0.02,-4.624861723,,,,,,-8.078647573,-11.51291546,-11.51291546,-11.51291546,-4.925070328,-11.51291546,-11.51291546,-6.89681426,-5.593026524,-6.89681426,-7.798962835,-5.540320268,-11.51291546,-11.51291546,-6.429929711,
24,227,5.35,,,,,2.25,2.12,,18.86,,0.04,0.04,0.63,2.41,0.49,0.3,0.59,0.04,1.68,1.7,6.93,,0.02,0.09,,,0.02,0.39,0.01,-4.667332745,,,,,,-7.249555068,-11.51291546,-11.51291546,-11.51291546,-4.939137754,-6.15897505,-5.374926812,-7.249555068,-6.207628475,-7.58060932,-9.11493837,-11.51291546,-11.51291546,-11.51291546,-6.369570362,
25,286,4.59,,,,,1.49,1.48,,16.47,,0.06,0.06,0.33,1.48,0.51,0.44,0.51,0.01,1.49,1.88,5.41,,0.01,0.09,,,0.03,0.31,0.01,-4.769908387,,,,,,-7.001175343,-11.51291546,-11.51291546,-7.401461099,-4.939137754,-11.51291546,-5.41948088,-6.89681426,-5.738289181,-8.468212057,-6.89681426,-11.51291546,-8.468212057,-7.117685751,-9.11493837,
26,194,5.59,,,,,1.45,1.32,,15.4,,0.07,0.06,0.26,2.05,0.97,0.4,0.63,0.02,1.52,1.57,5.4,,0.02,0.08,,,0.01,0.32,0.01,-4.819042402,,,,,,-6.312636719,-11.51291546,-8.468212057,-9.11493837,-5.232859365,-11.51291546,-11.51291546,-6.802304489,-5.540320268,-5.770037705,-7.798962835,-6.715944046,-8.078647573,-7.249555068,-6.207628475,
