Code,Year,Season,Country,Site
1,2016,Spring,Germany,FB
2,2016,Spring,Germany,GO2
3,2016,Spring,Germany,GO4
4,2016,Spring,Germany,KR1
5,2016,Spring,Germany,KR4
6,2016,Spring,Germany,KB1
7,2016,Spring,Germany,KB4
8,2016,Spring,Germany,SWR2
9,2016,Autumn,Germany,FB
10,2016,Autumn,Germany,GO2
11,2016,Autumn,Germany,GO4
12,2016,Autumn,Germany,KR1
13,2016,Autumn,Germany,KR4
14,2016,Autumn,Germany,KB1
15,2016,Autumn,Germany,KB4
16,2016,Autumn,Germany,SWR2
17,2009,Spring,Sweden,A2
18,2009,Spring,Sweden,A3
19,2009,Spring,Sweden,A4
20,2009,Spring,Sweden,A5
21,2009,Spring,Sweden,A6
22,2009,Spring,Sweden,A7
23,2009,Spring,Sweden,A8
24,2009,Spring,Sweden,A9
25,2009,Spring,Sweden,ANN12
26,2009,Spring,Sweden,ANN15
27,2009,Spring,Sweden,ANN18
28,2009,Spring,Sweden,ANN21
29,2009,Spring,Sweden,ANN24
30,2009,Spring,Sweden,ANN6
31,2009,Spring,Sweden,ANN9
32,2009,Spring,Sweden,ANO10
33,2009,Spring,Sweden,ANO11
34,2009,Spring,Sweden,ANO13
35,2009,Spring,Sweden,ANO14
36,2009,Spring,Sweden,ANO16
37,2009,Spring,Sweden,ANO17
38,2009,Spring,Sweden,ANO19
39,2009,Spring,Sweden,ANO20
40,2009,Spring,Sweden,ANO22
41,2009,Spring,Sweden,ANO23
42,2009,Spring,Sweden,ANO4XTR
43,2009,Spring,Sweden,ANO5XTR
44,2009,Spring,Sweden,ANO7
45,2009,Spring,Sweden,ANO8
46,2009,Spring,Sweden,B1
47,2009,Spring,Sweden,B2
48,2009,Spring,Sweden,B2XTR
49,2009,Spring,Sweden,B3
50,2009,Spring,Sweden,B3XTR
51,2009,Spring,Sweden,B4
52,2009,Spring,Sweden,B5
53,2009,Spring,Sweden,BNN15
54,2009,Spring,Sweden,BNN3
55,2009,Spring,Sweden,BNN6
56,2009,Spring,Sweden,BNN9
57,2009,Spring,Sweden,BNO1
58,2009,Spring,Sweden,BNO13
59,2009,Spring,Sweden,BNO14
60,2009,Spring,Sweden,BNO2
61,2009,Spring,Sweden,BNO4
62,2009,Spring,Sweden,BNO5
63,2009,Spring,Sweden,BNO7
64,2009,Spring,Sweden,BNO8
65,2009,Spring,Sweden,C1
66,2009,Spring,Sweden,CNN3
67,2009,Spring,Sweden,CNO1
68,2009,Spring,Sweden,CNO2
69,2009,Autumn,Sweden,A2
70,2009,Autumn,Sweden,A3
71,2009,Autumn,Sweden,A4
72,2009,Autumn,Sweden,A5
73,2009,Autumn,Sweden,A6
74,2009,Autumn,Sweden,A7
75,2009,Autumn,Sweden,A8
76,2009,Autumn,Sweden,A9
77,2009,Autumn,Sweden,ANN12
78,2009,Autumn,Sweden,ANN15
79,2009,Autumn,Sweden,ANN18
80,2009,Autumn,Sweden,ANN21
81,2009,Autumn,Sweden,ANN24
82,2009,Autumn,Sweden,ANN6
83,2009,Autumn,Sweden,ANN9
84,2009,Autumn,Sweden,ANO10
85,2009,Autumn,Sweden,ANO11
86,2009,Autumn,Sweden,ANO13
87,2009,Autumn,Sweden,ANO14
88,2009,Autumn,Sweden,ANO16
89,2009,Autumn,Sweden,ANO17
90,2009,Autumn,Sweden,ANO19
91,2009,Autumn,Sweden,ANO20
92,2009,Autumn,Sweden,ANO22
93,2009,Autumn,Sweden,ANO23
94,2009,Autumn,Sweden,ANO4XTR
95,2009,Autumn,Sweden,ANO5XTR
96,2009,Autumn,Sweden,ANO7
97,2009,Autumn,Sweden,ANO8
98,2009,Autumn,Sweden,B1
99,2009,Autumn,Sweden,B2
100,2009,Autumn,Sweden,B2XTR
101,2009,Autumn,Sweden,B3
102,2009,Autumn,Sweden,B3XTR
103,2009,Autumn,Sweden,B4
104,2009,Autumn,Sweden,B5
105,2009,Autumn,Sweden,BNN15
106,2009,Autumn,Sweden,BNN3
107,2009,Autumn,Sweden,BNN6
108,2009,Autumn,Sweden,BNN9
109,2009,Autumn,Sweden,BNO1
110,2009,Autumn,Sweden,BNO13
111,2009,Autumn,Sweden,BNO14
112,2009,Autumn,Sweden,BNO2
113,2009,Autumn,Sweden,BNO4
114,2009,Autumn,Sweden,BNO5
115,2009,Autumn,Sweden,BNO7
116,2009,Autumn,Sweden,BNO8
117,2009,Autumn,Sweden,C1
118,2009,Autumn,Sweden,CNN3
119,2009,Autumn,Sweden,CNO1
120,2009,Autumn,Sweden,CNO2
121,2016,Spring,Finland,Hang
122,2016,Spring,Finland,Kant
123,2016,Spring,Finland,Koti
124,2016,Spring,Finland,Mati
125,2016,Spring,Finland,Pess
126,2016,Spring,Finland,Poro
127,2016,Spring,Finland,Puta
128,2016,Spring,Finland,Salm
129,2016,Spring,Finland,Uopa
130,2016,Spring,Finland,Vans
131,2016,Autumn,Finland,Hang
132,2016,Autumn,Finland,Kant
133,2016,Autumn,Finland,Koti
134,2016,Autumn,Finland,Mati
135,2016,Autumn,Finland,Pess
136,2016,Autumn,Finland,Poro
137,2016,Autumn,Finland,Puta
138,2016,Autumn,Finland,Salm
139,2016,Autumn,Finland,Uopa
140,2016,Autumn,Finland,Vans
